#options: 2560x1440 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2436 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:124 out:124 type:P dur:2 cpbdur:2 q:53.85 aq:49.20 tex:18254 mv:17796 misc:6750 imb:1292 pmb:940 smb:12168 d:- ref:0 ;
in:125 out:125 type:P dur:2 cpbdur:2 q:53.80 aq:49.04 tex:18108 mv:18126 misc:6862 imb:1245 pmb:1020 smb:12135 d:- ref:0 ;
in:126 out:126 type:P dur:2 cpbdur:2 q:53.78 aq:48.19 tex:23811 mv:19972 misc:7473 imb:1789 pmb:972 smb:11639 d:- ref:0 ;
in:127 out:127 type:P dur:2 cpbdur:2 q:53.75 aq:48.93 tex:16728 mv:15846 misc:6842 imb:1137 pmb:884 smb:12379 d:- ref:0 ;
in:128 out:128 type:P dur:2 cpbdur:2 q:53.76 aq:48.49 tex:21597 mv:19161 misc:7522 imb:1713 pmb:942 smb:11745 d:- ref:0 ;
in:129 out:129 type:P dur:2 cpbdur:2 q:53.78 aq:48.45 tex:16041 mv:16017 misc:6918 imb:1214 pmb:891 smb:12295 d:- ref:0 ;
in:130 out:130 type:P dur:2 cpbdur:2 q:53.86 aq:48.89 tex:23142 mv:17934 misc:7044 imb:1661 pmb:867 smb:11872 d:- ref:0 ;
in:134 out:131 type:P dur:2 cpbdur:2 q:53.90 aq:48.72 tex:62732 mv:28927 misc:7301 imb:4832 pmb:930 smb:8638 d:- ref:0 ;
in:132 out:132 type:B dur:2 cpbdur:2 q:53.88 aq:49.09 tex:33327 mv:35180 misc:7501 imb:1135 pmb:2572 smb:10693 d:- ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:53.87 aq:49.93 tex:21232 mv:28329 misc:7047 imb:746 pmb:2257 smb:11397 d:- ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:53.89 aq:49.80 tex:25892 mv:30084 misc:7600 imb:756 pmb:2428 smb:11216 d:- ref:0 ;
in:136 out:135 type:P dur:2 cpbdur:2 q:54.26 aq:49.49 tex:46378 mv:27901 misc:7577 imb:3383 pmb:1126 smb:9891 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:54.08 aq:50.74 tex:12806 mv:18463 misc:6931 imb:263 pmb:1946 smb:12191 d:- ref:0 ;
in:139 out:137 type:P dur:2 cpbdur:2 q:54.42 aq:50.05 tex:22571 mv:17759 misc:7662 imb:1533 pmb:984 smb:11883 d:- ref:0 ;
in:137 out:138 type:B dur:2 cpbdur:2 q:54.31 aq:50.55 tex:12940 mv:19124 misc:6872 imb:279 pmb:1884 smb:12237 d:- ref:0 ;
in:138 out:139 type:b dur:2 cpbdur:2 q:54.36 aq:49.68 tex:8883 mv:13960 misc:5733 imb:119 pmb:1446 smb:12835 d:- ref:0 ;
in:140 out:140 type:P dur:2 cpbdur:2 q:54.54 aq:50.11 tex:18523 mv:16439 misc:7102 imb:1273 pmb:972 smb:12155 d:- ref:0 ;
in:142 out:141 type:P dur:2 cpbdur:2 q:54.61 aq:49.58 tex:27687 mv:22501 misc:7828 imb:2146 pmb:1037 smb:11217 d:- ref:0 ;
